iteration,train_loss,train_map,cv_loss,cv_map
10,627.096191406,0.0,519.574035645,0.000141924496168
100,225.185852051,0.0,113.484542847,0.0010989010989
200,62.2907981873,0.0,31.6789150238,0.312953179299
300,36.7207260132,0.0,23.9319515228,0.398122710623
400,27.6587791443,0.0,20.206363678,0.440678765679
500,28.2062683105,0.0,18.4565505981,0.474923687424
600,27.2021903992,0.0,17.2668247223,0.514911477411
700,22.2915821075,0.0,16.4346218109,0.514590964591
800,17.5976009369,0.0,15.2016096115,0.479191641692
900,20.2137298584,0.0,14.6021471024,0.528879453879
1000,18.3651008606,0.0,14.1291046143,0.493925518926
1100,19.2545909882,0.0,13.780172348,0.451831501832
1200,14.94389534,0.0,13.3420715332,0.524253524254
1300,16.8029098511,0.0,13.1228399277,0.518442668443
1400,18.5097446442,0.0,12.5899190903,0.550124875125
1500,16.1264305115,0.0,12.4110898972,0.557650682651
1600,13.5881633759,0.0,12.2557649612,0.517649017649
1700,17.3224563599,0.0,12.0355033875,0.563005050505
1800,12.8063850403,0.0,12.007727623,0.584442800789
1900,11.5513439178,0.0,11.6365232468,0.564316239316
2000,16.1101665497,0.0,11.6836652756,0.604242979243
2100,12.6375904083,0.0,11.4708557129,0.578267565768
2200,13.7893657684,0.0,11.1123743057,0.623001998002
2300,13.5663156509,0.0,11.1540775299,0.682846320346
2400,14.6819324493,0.0,11.1401567459,0.593652181152
2500,11.7196846008,0.0,10.9743385315,0.644171106671
2600,11.234790802,0.0,11.1946458817,0.638843101343
2700,12.0464868546,0.0,10.3211297989,0.651406926407
2800,10.7936496735,0.0,10.2089958191,0.617003829504
2900,9.91177368164,0.0,10.4875335693,0.612974525475
3000,12.1221179962,0.0,10.1882009506,0.581125818626
3100,11.5631160736,0.0,10.2302656174,0.635546398046
3200,9.23731517792,0.0,10.3101091385,0.667936230436
3300,11.0059509277,0.0,9.97324752808,0.647650960151
3400,8.85805892944,0.0,9.9254655838,0.642599067599
3500,7.79453754425,0.0,10.1433753967,0.638311688312
3600,9.72433662415,0.0,9.98122024536,0.647696747697
3700,11.9969482422,0.0,9.97412872314,0.692798867799
3800,10.1836061478,0.0,9.60479164124,0.629732767233
3900,8.95536422729,0.0,9.5805273056,0.650398212898
4000,8.95677471161,0.0,9.56274604797,0.658505383505
4100,7.94864463806,0.0,9.45366382599,0.659036796537
4200,9.55676269531,0.0,9.53153038025,0.698676323676
4300,10.5454082489,0.0,9.15916442871,0.641103341103
4400,10.7781143188,0.0,9.23286724091,0.628878066378
4500,9.4556427002,0.0,9.26849365234,0.675663225663
4600,9.97747612,0.0,9.57402515411,0.669738594739
4700,9.5372505188,0.0,9.37110328674,0.676347263847
4800,10.1850299835,0.0,9.52438163757,0.645407370407
4900,8.79175853729,0.0,9.4475069046,0.656121656122
5000,9.26658535004,0.0,9.45331096649,0.653588078588
